model,state,count,percentage
llama-3.2-1b_gsm_8k_test,Uttar Pradesh,538,47.61061946902655
llama-3.2-1b_gsm_8k_test,Chandigarh,267,23.628318584070797
llama-3.2-1b_gsm_8k_test,Delhi,152,13.451327433628318
llama-3.2-1b_gsm_8k_test,Punjab,83,7.345132743362832
llama-3.2-1b_gsm_8k_test,Odisha,20,1.7699115044247788
llama-3.2-1b_gsm_8k_test,Uttarakhand,5,0.4424778761061947
llama-3.2-1b_gsm_8k_test,Andaman and Nicobar Islands,8,0.7079646017699115
llama-3.2-1b_gsm_8k_test,Maharashtra,8,0.7079646017699115
llama-3.2-1b_gsm_8k_test,Assam,2,0.17699115044247787
llama-3.2-1b_gsm_8k_test,Haryana,5,0.4424778761061947
llama-3.2-1b_gsm_8k_test,Telangana,11,0.9734513274336283
llama-3.2-1b_gsm_8k_test,Meghalaya,1,0.08849557522123894
llama-3.2-1b_gsm_8k_test,Kerala,1,0.08849557522123894
llama-3.2-1b_gsm_8k_test,Puducherry,8,0.7079646017699115
llama-3.2-1b_gsm_8k_test,Karnataka,5,0.4424778761061947
llama-3.2-1b_gsm_8k_test,Himachal Pradesh,3,0.2654867256637168
llama-3.2-1b_gsm_8k_test,Lakshadweep,2,0.17699115044247787
llama-3.2-1b_gsm_8k_test,Dadra and Nagar Haveli and Dama,3,0.2654867256637168
llama-3.2-1b_gsm_8k_test,Bihar,2,0.17699115044247787
llama-3.2-1b_gsm_8k_test,Rajasthan,2,0.17699115044247787
llama-3.2-1b_gsm_8k_test,Andhra Pradesh,1,0.08849557522123894
llama-3.2-1b_gsm_8k_test,Chhattisgarh,1,0.08849557522123894
llama-3.2-1b_gsm_8k_test,Jharkhand,1,0.08849557522123894
llama-3.2-1b_gsm_8k_test,Sikkim,1,0.08849557522123894
mistral_gsm_8k_test,Chandigarh,21,2.7851458885941645
mistral_gsm_8k_test,Delhi,232,30.76923076923077
mistral_gsm_8k_test,Odisha,100,13.262599469496022
mistral_gsm_8k_test,Himachal Pradesh,2,0.2652519893899204
mistral_gsm_8k_test,Maharashtra,32,4.244031830238726
mistral_gsm_8k_test,Uttar Pradesh,233,30.90185676392573
mistral_gsm_8k_test,Haryana,4,0.5305039787798408
mistral_gsm_8k_test,Jharkhand,8,1.0610079575596816
mistral_gsm_8k_test,Karnataka,15,1.989389920424403
mistral_gsm_8k_test,Tamil Nadu,4,0.5305039787798408
mistral_gsm_8k_test,Puducherry,4,0.5305039787798408
mistral_gsm_8k_test,Andaman and Nicobar Islands,14,1.8567639257294428
mistral_gsm_8k_test,Uttarakhand,9,1.1936339522546418
mistral_gsm_8k_test,Mizoram,3,0.3978779840848806
