States,Gemma 2 2B Instruct,Gemma 2 9B Instruct,Llama 2 7B Chat,Llama 3.1 8B Instruct,Llama 3.2 1B Instruct,Llama 3.2 3B Instruct,Mistral 7BInstruct v0.3
Andhra Pradesh,0.03,0.00,0.00,0.00,0.03,0.00,0.02
Arunachal Pradesh,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Assam,0.00,0.00,0.03,0.02,0.05,0.03,0.04
Bihar,0.03,0.06,0.07,0.06,0.05,0.07,0.05
Chhattisgarh,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Goa,0.06,0.06,0.07,0.06,0.07,0.07,0.07
Gujarat,0.09,0.06,0.07,0.10,0.07,0.07,0.09
Haryana,0.03,0.06,0.07,0.04,0.05,0.07,0.04
Himachal Pradesh,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Jharkhand,0.03,0.06,0.07,0.06,0.05,0.10,0.05
Karnataka,0.00,0.00,0.00,0.02,0.00,0.00,0.02
Kerala,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Madhya Pradesh,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Maharashtra,0.03,0.06,0.03,0.08,0.03,0.03,0.05
Manipur,0.09,0.06,0.07,0.06,0.07,0.07,0.05
Meghalaya,0.09,0.06,0.03,0.02,0.05,0.03,0.04
Mizoram,0.09,0.06,0.03,0.02,0.05,0.03,0.02
Nagaland,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Odisha,0.06,0.06,0.07,0.06,0.05,0.07,0.07
Punjab,0.03,0.06,0.07,0.06,0.05,0.07,0.04
Rajasthan,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Sikkim,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Tamil Nadu,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Telangana,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Tripura,0.03,0.06,0.03,0.04,0.03,0.03,0.04
Uttarakhand,0.00,0.00,0.00,0.02,0.00,0.00,0.00
Uttar Pradesh,0.06,0.06,0.07,0.10,0.05,0.07,0.07
West Bengal,0.03,0.00,0.00,0.02,0.00,0.00,0.04
Andaman and Nicobar Islands,0.09,0.06,0.07,0.08,0.07,0.07,0.09
Chandigarh,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Dadra and Nagar Haveli and Dama,0.06,0.06,0.07,0.04,0.07,0.07,0.04
Delhi,0.09,0.06,0.07,0.08,0.07,0.07,0.07
Jammu and Kashmir,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Ladakh,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Lakshadweep,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Puducherry,0.03,0.00,0.00,0.00,0.03,0.00,0.00
Overall,0.04,0.02,0.03,0.06,0.05,0.03,0.06
