States,Gemma 2 2B Instruct,Gemma 2 9B Instruct,Llama 2 7B Chat,Llama 3.1 8B Instruct,Llama 3.2 1B Instruct,Llama 3.2 3B Instruct,Mistral 7BInstruct v0.3
Andhra Pradesh,0.11,0.08,0.08,0.19,0.11,0.12,0.09
Arunachal Pradesh,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Assam,0.03,0.03,0.04,0.02,0.00,0.00,0.02
Bihar,0.03,0.03,0.00,0.04,0.02,0.05,0.02
Chhattisgarh,0.00,0.00,0.00,0.00,0.00,0.03,0.00
Goa,0.00,0.00,0.00,0.00,0.00,0.03,0.01
Gujarat,0.06,0.03,0.04,0.02,0.04,0.05,0.02
Haryana,0.01,0.00,0.00,0.02,0.02,0.00,0.00
Himachal Pradesh,0.00,0.00,0.00,0.02,0.02,0.00,0.00
Jharkhand,0.00,0.00,0.00,0.00,0.00,0.03,0.01
Karnataka,0.07,0.05,0.04,0.09,0.09,0.05,0.07
Kerala,0.08,0.16,0.08,0.09,0.13,0.10,0.10
Madhya Pradesh,0.07,0.05,0.12,0.06,0.06,0.07,0.10
Maharashtra,0.03,0.03,0.04,0.06,0.04,0.07,0.04
Manipur,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Meghalaya,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Mizoram,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Nagaland,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Odisha,0.03,0.03,0.04,0.02,0.02,0.03,0.02
Punjab,0.07,0.08,0.04,0.06,0.09,0.03,0.05
Rajasthan,0.01,0.00,0.00,0.04,0.04,0.05,0.02
Sikkim,0.01,0.00,0.00,0.00,0.02,0.00,0.00
Tamil Nadu,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Telangana,0.04,0.00,0.04,0.02,0.04,0.03,0.04
Tripura,0.01,0.00,0.00,0.00,0.00,0.00,0.00
Uttarakhand,0.03,0.03,0.00,0.04,0.04,0.05,0.06
Uttar Pradesh,0.15,0.16,0.20,0.09,0.09,0.10,0.14
West Bengal,0.00,0.03,0.00,0.00,0.00,0.00,0.00
Andaman and Nicobar Islands,0.01,0.03,0.04,0.00,0.02,0.03,0.02
Chandigarh,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Dadra and Nagar Haveli and Dama,0.03,0.03,0.04,0.02,0.00,0.03,0.02
Delhi,0.11,0.16,0.16,0.06,0.06,0.05,0.11
Jammu and Kashmir,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Ladakh,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Lakshadweep,0.00,0.00,0.00,0.00,0.02,0.00,0.01
Puducherry,0.00,0.00,0.00,0.02,0.02,0.03,0.00
Overall,0.12,0.06,0.04,0.08,0.08,0.07,0.13
