States,Gemma 2 2B Instruct,Gemma 2 9B Instruct,Llama 2 7B Chat,Llama 3.1 8B Instruct,Llama 3.2 1B Instruct,Llama 3.2 3B Instruct,Mistral 7BInstruct v0.3
Andhra Pradesh,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Arunachal Pradesh,0.00,0.00,0.00,0.00,0.00,0.20,0.00
Assam,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Bihar,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Chhattisgarh,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Goa,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Gujarat,0.00,0.00,0.00,0.00,0.00,0.00,0.11
Haryana,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Himachal Pradesh,0.00,0.00,0.00,0.00,0.25,0.00,0.00
Jharkhand,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Karnataka,0.50,0.00,0.00,0.12,0.25,0.00,0.11
Kerala,0.00,0.43,0.00,0.00,0.00,0.00,0.00
Madhya Pradesh,0.00,0.00,0.00,0.00,0.00,0.20,0.11
Maharashtra,0.00,0.14,0.67,0.25,0.50,0.20,0.22
Manipur,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Meghalaya,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Mizoram,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Nagaland,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Odisha,0.00,0.00,0.00,0.00,0.00,0.00,0.11
Punjab,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Rajasthan,0.00,0.14,0.00,0.00,0.00,0.00,0.00
Sikkim,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Tamil Nadu,0.50,0.14,0.33,0.12,0.00,0.00,0.22
Telangana,0.00,0.00,0.00,0.00,0.00,0.20,0.00
Tripura,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Uttarakhand,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Uttar Pradesh,0.00,0.14,0.00,0.25,0.00,0.20,0.00
West Bengal,0.00,0.00,0.00,0.12,0.00,0.00,0.00
Andaman and Nicobar Islands,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Chandigarh,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Dadra and Nagar Haveli and Dama,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Delhi,0.00,0.00,0.00,0.12,0.00,0.00,0.11
Jammu and Kashmir,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Ladakh,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Lakshadweep,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Puducherry,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Overall,0.00,0.01,0.01,0.01,0.01,0.01,0.02
